,sentence
3465,Contd....  Special Financing  Factoring is an high cost borrowing  Factoring service charge is high  Factoring is meant for manufacturing units only  Factoring limits falls within MBBF/ Assessed Bank  finance  207  Comparable to interest rates of banks.
3466,"(SSI     13.50%  to  15.75%  Non-SSI  13.50%  to 17.25%) Will to offer SBI   s PLR selectively)  Service Charge is 0.1% to 0.3%  only whereas in  Bills  discounting,  the  collection  charge  is 0.5% to 0.6%."
3467,"Extended to all sectors namely Manufacturing, Trading and Services."
3468,Factoring is to be classified as other Current liability  as  per  RBI  guidelines  and  Factoring replaces market credit and not bank borrowings.
3469,History of the Early Factoring in Roman Factoring  has  not  been  documented  as  having  been  used  by  the  Romans.
3470,"However,  the word    factoring    has a Roman root."
3471,It is derived from the Latin verb    facio    which can be translated  as     he  who  does  things   .
3472,"In  Roman  times  this  referred  to  agent  of  a  property owner, i.e., his business manager."
3473,"Though the root word has nothing to do with the industry, as they attempt to help their clients through their financial problem."
3474,"Factoring in United States Factoring arose in the United States during 19th century, as direct result of the inability of manufacturers to maintain constant and timely communications with their sales forces in the field."
3475,"At that time, as the case today, the sales force was paid by communications."
3476,"If all sales were at the risk of the manufacturer, the salesman had no incentive to exercise prudence in connection with whom to sell to on credit."
3477,"On the other hand, the distant manufacturer was not in the position to make the credit risk  on  sales."
3478,The  risk  of  defective  or  non-conforming  merchandise  remained  with  the manufacturer.
3479,"The credit risk was now separated from disputes as to quality, workmanship and conformity of goods."
3480,"Soon after, the salesman began to act as independent sales agencies."
3481,It was common for them to act for more than one manufacturer.
3482,"Still later the sales function was separated from the credit function and    Traditional Factoring    as the people know, it had, at that point, developed in the United States."
3483,Factoring in India Banks provide generally bill collection and bill discounting and with recourse.
3484,They provide working capital finance based on these bills classified by amounts maturity wise.
3485,Such bills if  accumulated  in  large  quantities  will  burden  the  liquidity  and  solvency  position  of  the company and reduces the credit limits from the banks.
3486,It is therefore felt necessary that the company assigns these book debts to a factor for taking them off from the balance sheet.
3487,"This reduces the workload, increases the solvency and improves the liquidity position of the  company."
3488,208  Financial Management  In 1998 a study group under the chairmanship of C.S.
3489,"Kalyana Sundram was constituted to examine the feasibility of factoring services in India, their constitution, organizational set up and scope of activities."
3490,"The group recommended the setting up of specialized agencies or subsidiaries for providing the factoring services in India with a professional expertise in credit assessment, debt collection and management of sales ledger, and other related services."
3491,Defaults  or  delays  in  collection  and  repayment  can  still  remain  which  is  the  risk  to  be taken by the factor for a fee.
3492,The group has estimated a good potential for this service to the  tune  of  about  Rs.
3493,"4000  crores  mainly  emerging  a  collection  problem,  and  delays  in collection  and  consequential  liquidity  problems."
3494,Later the Vaghul Committee report on money market reforms has confirmed the need for factoring services to be developed in India as part of the money market instruments.
3495,"Many new instruments were already introduced like Participation certificates, Commercial papers,  Certificate  of  deposits  etc.,  but  the  factoring  service  has  not  developed  to  any significant extent in India."
3496,The Reserve Bank allowed some banks to set up subsidiaries on a zonal basis to take care of the requirements of companies in need of such service.
3497,"Thus Canara Bank, State Bank of India, Punjab National Bank and a few other banks have been permitted to set up jointly some factor, for Eastern, Western, Northern, and Southern Zones."
3498,"The progress of the activity did not show any worth while dimension, so far."
3499,"Modus of Operations If  a  company  wants  to  factor  its  receivables  it  submits  a  list  of  customers,  their  credit rating,  amount  involved  in  maturity  and  other  terms."
3500,"If  the  factor  scrutinizes  the  list  of buyers and they are in the approved list, the factor gives its decision of the clients and the amounts  they  may  take  all  receivables  on  wholesale  discounting  basis."
3501,"The  factor  then takes  all  the  documents  in  respect  of  approved  list  and  pays  up  to  80%  to  90%  of  the amount  due  less  commission  to  the  company  which  in  turn  removes  these  instruments, from base of accounts and shows cash flow as against bills receivables written off."
3502,Factoring services rendered the following services:  1.
3503,Purchase  of  book  debts  and  receivables.
3504,2.
3505,Administration  of  sales  ledger  of  the  clients.
3506,3.
3507,Prepayments  of  debts  partially  or  fully.
3508,4.
3509,Collection  of  book  debts  or  receivables  or  with  or  without  documents.
3510,5.
3511,Covering  the  credit  risk  of  the  suppliers.
3512,6.
3513,Dealing  in  book  debts  of  customers  without  recourse.
3514,Why Factoring?
3515,Factoring is one of the most important and unavoidable part of the business concern which meets  the  short-term  financial  requirement  of  the  concern.
3516,Factoring  is  favorable  to  the industrial concern for the following reasons.
3517,Special Financing  209  1.
3518,Quickest  response   Customer  oriented  timely  decisions  and  decision  on  sanction  within  a  week.
3519,Improves  cashflow.
3520,Instant  finance   against  each  invoice.
3521,Increases  sales  through  better  terms  on  sales.
3522,2.
3523,Low  cost.
3524,3.
3525,Low  service  charges  (0.1%  to  0.3%).
3526,4.
3527,Low  margin  (20% onwards).
3528,5.
3529,6.
3530,Generous  grace  period.
3531,7.
3532,8.
3533,Substitutes  sundry  creditors.
3534,9.
3535,10.
3536,More  operating  cycles  and  more  profits.
3537,11.
3538,No  upfront  recovery  of  charges.
3539,12.
3540,13.
3541,Very  easy  to  operate.
3542,14.
3543,Flexible  credit  periods.
3544,15.
3545,No  penal  interest  up  to  grace  period.
3546,16.
3547,Empowers  cash  purchase.
3548,Improves  credit  reputation.
3549,17.
3550,18.
3551,Follow  up  of  each  invoice.
3552,19.
3553,Collection  of  receivables.
3554,20.
3555,MIS  reports  like  customers  overdue  invoices  enabling  constant  evaluation  of  Interest  on  daily  products.
3556,customers.
3557,21.
3558,Outstation  payments  at  nominal  rates.
3559,Mechanics of Factoring  CLIENT (SELLER)  (1) Places Order for Goods  .
3560,CUSTOMER (BUYER)  (3) Delivery of Goods with Notice   Pay the Factor .
3561,.
3562,s t i  m  i l  r e m o t s u c  f o n o i t a x F ) 2 (  i  .
3563,i  e c o v n  i  f o y p o C  ) 4 (  .
3564,% 0 8 o t p u t n e m y a p e r P  ) 5 (  .
3565,i  d a p n u  t n u o m A e c n a a B  l  ) 9 (  t  e a D   e u D   y b   d a p n U  i    f o   p u   w o  l l  .
3566,t n e m y a P  ) 8 (  FACTOR  (6) Monthly Statement   o F  ) 7 (  Fig.
3567,12.2  Mechanics of Factoring  210  Financial Management    The following are the steps for factoring:  1.
3568,The  customer  places  an  order  with  the  seller  (client).
3569,2.
3570,The factor and the seller enter into a factoring agreement about the various terms  of  factoring.
3571,3.
3572,Sale  contract  is  entered  into  with  the  buyer  and  the  goods  are  delivered.
3573,The  invoice  with  the  notice  to  pay  the  factor  is  sent  alongwith.
3574,4.
3575,"The copy of invoice covering the above sale to the factor, who maintains the sale ledger."
3576,5.
3577,The  factor  prepays  80%  of  the  invoice  value.
3578,6.
3579,The  monthly  statement  are  sent  by  the  factor  to  the  buyer.
3580,7.
3581,Follow  up  action  is  initiated  if  there  are  any  unpaid  invoices.
3582,8.
3583,The  buyer  settles  the  invoices  on  the  expiry  of  the  credit  period  allowed.
3584,9.
3585,The  balance  20%  less  the  cost  of  factoring  is  paid  by  the  factor  to  the  client.
3586,"Types of factoring  (1) Notified factoring:  Here, the customer is intimated about the assignment of  debt to  a  factor,  also  directed  to  make  payments  to  the  factor  instead  of  to  the  firm."
3587,This is invariably done by a legend and the invoice has been assigned to or sold to  the  factor.
3588,"(2) Non-notified or confidential factoring:  Under this facility, the supplier/factor arrangement  is  not  declared  to  the  customer  unless  or  until  there  is  a  breach  of the agreement on the part of the client, or exceptionally, where the factor considers himself  to  be  at  risk."
3589,"(3) With  recourse  or  without  recourse  factoring: Under recourse arrangements, the client will carry the credit risk in respect of debts sold to the factor."
3590,"In without recourse  factoring,  the  bad  debts  are  borne  by  the  factor."
3591,(4) Bank  Participation  Factoring:  The  client  creates  a  floating  charge  on  the  factoring  reserves  in  favour  of  banks  and  borrow  against  these  reserves.
3592,(5) Export Factoring: There is usually the presence of two factors: an export factor and an import factor.
3593,The former buys the invoices of a client exporter and assumes the risk in case of default by the overseas customers.
3594,"Because of distance, different condition or lake of information, the export factor usually forms out to an agent, known as the import factor, the administrative job of servicing the debts owed to its  exporting  clients."
3595,"FOREIGN DIRECT INVESTMENT According to the definition given by JMF, FDI is the category of international investment that  reflects  the  objective  of  a  resident  entity  in  one  economy  (direct  investor  or  parent enterprise) by obtaining a    lasting interest    and control in an enterprise resident in another economy  (direct  investment  enterprise)."
3596,"Special Financing  211  The  IMF  definition  of  FDI  includes  as  many  as  twelve  different  elements,  namely: equity capital, reinvested earnings of foreign companies, inter-company debt transactions including short-term and long-term loans, overseas commercial borrowings (financial leasing, trade credits, grants, bonds), non cash acquisition of equity, investment made by foreign vantage capital investors, earning data of indirectly held FDI enterprises, control premium, non-competition fee and so on."
3597,FDI in India  FDI is permitted as under the following form of investments: Through  financial  collaborations; Through  joint  ventures  and  technical  collaborations; Through capital markets Via Euro Uses.
3598,Through Private Placements or Preferential Allotments  1.
3599,The  government  has  reviewed  the  guidelines  pertaining  to  foreign/technical collaborations under automatic route for foreign financial/technical collaborations with  previous  ventures/tie-ups  in  India  as  per  Press  Note  No.
3600,"18  (1998),  it  has been  decided  that  new  proposals  for  foreign  investment/technical  collaborations would henceforth be allowed under the automatic route, subject to sectored policies as  per  the  following  guidelines."
3601,(a)  Prior  approval  of  the  government  would  be  required  only  in  cases  where the  foreign  investor  has  an  existing  joint  venture  for  technology  transfer/ trade  mark  agreement  in  the     same     field.
3602,"Even in the above mentioned cases, the approval of the government would not  be  required  in  respect  of  the  following  : Investments to be made by venture capital funds registered with SEBI."
3603,"(1) (2) Where  the  existing  joint  venture  investments  by  either  of  the  parties  (b)  (c)  is  less  than  3%;  or  (3) Where  the  existing,  venture/collaboration  is  defunct  or  sick."
3604,"In so far as joint venture to be ordered after the date of  dated January, 12, 2005 are concerned, the joint venture agreement may embody a    conflict of interest    clause to safeguard the interest of joint venture partners in the event of  one  of  the  partners  desiring  to  set  up  another  joint  venture  or  a  wholly owned  subsidiary  in  the     same     field  of  economic  activity."
3605,2.
3606,Increase  in  the  FDI  limits  in  Air  Transport  Services  (Domestic  Airlines)  up  to 49%  through  automatic  route  and  up  to  100%  by  Non-resident  Indians  (RRIs) through  automatic  routes  (No  direct  or  indirect  equity  participation  by  foreign airlines  is  allowed).
3607,3.
3608,"Foreign investment in the banking sector has been further liberalized by raising, FDI  limit  in  private  sector  books  to  74%  under  the  automatic  route  including, investment  by  FIIs."
3609,212  Financial Management  4.
3610,FDI in telecom has been raised to 74% subject to certain security measures.
3611,"From August  1991  to  August  2004,  926  proposals  of  FDI  of  Rs."
3612,"41,368  crore  were approved."
3613,The  actual  FDI  inflow  of  approximately  Rs.
3614,"5,763  crore  between January  2001  and  August  2004  alone  was  about  56%  of  the  total  FDI  flow  in telecom since its inception in 1991."
3615,"In terms of approval of FDI, the telecom sector is  the  second  largest,  after  power  and  oil  references."
3616,5.
3617,FDI in construction sector has been opened.
3618,Still some more sectors vis-  -vis retail  mining  and  pension  are  under  the  consideration  of  the  government.
3619,6.
3620,"A  part  of  FDI  comes  from  NRIs,  to  oversee  the  difficulties  faced  by  NRIs government has set up a separate NRI Ministry for facilitating hassle free investment procedure  and  clearances."
3621,A Comparative Study Between India  and  China  Country India China World FDI 1581 2.22 * ** 6.06  2.32  3.45  3.40  2.17 4.27 40.2 40.72 46.88 52.74 53.51 560 9.56 0.76  691 1087 1388 2.93 6.58 0.38 0.17  679 7.77 0.51  818 5.73 0.42  3.71 0.20  0.24  0.08 2.64 4.32 16.16 27.52 33.79 36.85 40.18 44.24 45.46  0.54 0.97 2.15 2.53  3.35  FDI Inflows ($bn)  208  226  168 338 6.67 13.23 14.98 10.80 11.90 0.14 0.26 0.43 0.65 0.75  332  473 9.35 0.71  *   FDI in China as a % of World FDI.
3622,**  FDI in India as a % of World FDI.
3623,"Source : UNCTAD, World Investment Report, Various Issues (1991   2004)."
3624,Foreign  Institutional Investors (FIIs) The Union Government allowed Foreign Institutional Investors to enter both the primary and secondary markets in India under liberalized policy resume.
3625,The large inflow and outflow of capital by FIIs affect the sensex movements.
3626,A certain degree of front running by the traders in anticipation of FIIs demand also determines the market direction.
3627,FIIs have to appoint an agency as consolidation to deal in the securities and reporting.
3628,Accounts have to be maintained on daily  basis.
3629,Semi model reports should be submitted by the custodian to SEBI and RBI.
3630,SEBI can conduct direct inspections on the accounting books of a registered FII.
3631,A Foreign Institutional Investor is permitted to  appoint more than one domestic custodian with prior approval of the Board but only one custodian may be appointed for a single sub-account of FIIs.
3632,"SEBI and FIIs SEBI announced its guidelines for FIIs registration and their operations in India in 1992 in February,  1993  SEBI  has  granted  registration  to  12  FIIs  for  investing  in  the  Indian  Stock market."
3633,"At the end of 1996, 97, 439 FIIs were registered with SEBI."
3634,"SEBI permitted registered FIIs to invest in all securities traded on the primary and secondary markets including: equity, other securities and instruments of companies listed on stock exchanges including OTCEI."
3635,"Special Financing  213  According  to  the  1995  regulation,  no  person  can  buy  or  sell  or  otherwise  deal  in securities as a foreign institutional investor unless he holds a certificate granted by SEBI."
3636,The certificate would be given to FIIs only after considering     1.
3637,"The applicant   s track record, professional record, professional competence, financial  soundness,  experience,  general  reputation  of  fairness  and  integrity."
3638,2.
3639,Whether the applicant is regulated by an appropriate foreign regulatory authority.
3640,3.
3641,"Whether the applicant has been granted permission under the provisions of FERA  Act  1973,  for  making  investments  in  India  as  FII."
3642,4.
3643,"Whether  the  applicant  is  (a) An institution established or incorporated outsides Indian as Pension Fund  or  Mutual  Fund  or  Investment  Trust,  or  (b) An Asset Management Company or Nominee Company or Bank or Institutional Portfolio Manager, established or incorporated outside India and proposing to make  investment  in  India  on  behalf  of  broad  based  funds  or  (c) A  Trustee  or  Power  of  Attorney  holder,  incorporated  or  established  outside India  and  proposing  to  make  investments  in  India  on  behalf  of  broad  based funds."
3644,The certificate is valid for a period of 5 years from the date of its grant.
3645,Provisions are  made for the renewal of the certificate.
3646,FIIs  are  allowed  to  place  orders  directly.
3647,Separate  codes  are  given  to  FIIs  and  stock exchange  have  to  use  the  code  number.
3648,The  code  number  have  to  be  approved  by  SEBI.
3649,All  the transactions carried out on behalf to FIIs have  to be on delivery basis.
3650,"In other words, the registered FIIs should not engage in short selling and have to take delivery of all purchase and give delivery of sold securities ."
3651,"To case the inflow of foreign capital, amendments have been made in the regulations  regarding the FIIs  investment."
3652,They are given below.
3653,1.
3654,SEBI exempted FIIs  to attach copy of RBI approved with market lot where shares  are  sold  and  a  custodian  signed  the  transfer  deed  on  their  behalf.
3655,2.
3656,FIIs  individual  limit  on  investment  in  a  company  was  raised  from  5  per  cent  to 10  per  cent.
3657,"Further,  they  have  been  allowed  to  unlisted  stock  of  any  company."
3658,The  FIIs  list  has  also  been  increased.
3659,3.
3660,"SEBI  (FIIs)  Regulations  1995,  have  been  changed  to  allow  the  FIIs  to  invest  not only  in  the  equity  but  also  in    debt  instruments  of    corporate  bodies."
3661,"FIIs  were allowed to invest up to 100 per cent  of the funds in debt instruments of Indian companies  through  100  per  cent  dedicated  debt  funds  from  January  15,  1997."
3662,4.
3663,"SEBI amended SEBI (FIIs) Regulations 1997, to make it mandatory for FIIs, having  5.  securities  of  Rs."
3664,10  crore  of  these  as  on  own  interest.
3665,"In  June  1998,  SEBI  permitted (a)  FIIs  to  invest  in  unlisted  companies  through  the  100%  debt  route  and  to tender their serenities directly in responses to an open offer made in terms of  the  SEBI  regulations  1997."
3666,214  Financial Management  (b) (c)  SEBI  simplified  the  process  of  approval  of  Sub-accounts  of  registered  FIIs.
3667,"SEBI permitted FIIs to buy derivative contracts, which are traded on the stock exchanges."
3668,6.
3669,The aggregate investment of FII/NRI/OCB has  been raised to 30 per cent of the equity  of  the  company  by  the  union  budget  for  1997   98.
3670,The  Finance  Minister in  his  budget  speech  in  February  2000  announced  of  this  limit  to  40  per  cent.
3671,"MERCHANT  BANKING Introduction Merchant banking is one of the fee based financial services which includes underwriting, consultancy and other allied services to the business concern."
3672,The term merchant banking has been used in different terms in different countries.
3673,In UK merchant banking is termed as accepting and issuing house and in the USA it is known as investment banking.
3674,Meaning A  merchant  banking  is  one  who  underwrites  corporate  securities  and  advises  clients  on issue like corporate mergers.
3675,"Merchant banking is basically service banking which provides non financial services such as issue management, portfolio management, asset management, underwriting of new issues, to act as registrar, share transfer agents, trustees, provide leasing, project consultation, foreign credits, etc."
3676,"The merchant bankers may function in the form of a bank, financial institutions, company or firm."
3677,"Merchant Banking in India In India, the first merchant banking services were started only in 1967 by National Grindlays Bank followed by Citi Bank in 1970."
3678,"In 1972 State Bank of India started a merchant banking division, followed by ICICI Bank in 1973."
3679,"Nowadays, most of the public sectors, private sectors,  commercial  banks  and  financial  institutions  established  a  separate  division  of merchant  banking  services."
3680,"Classification of Merchant Banking According  to  the  Securities  Exchange  Board  of  India  regulations,  merchant  bankings  are classified into the following categories on the basis of their activities and capital adequacy."
3681,The merchant banking must register themselves with Securities Exchange Board of India.
3682,Category  Minimum Net worth for  Capital adequacy  Category   I  Rs.
3683,5 Crore  Category   II  Rs.
3684,50 Lakhs  Category   III Category   IV  Rs.
3685,"20 Lakhs     NIL  Activities Permitted by SEBI  Issue Manager, Advisor, Consultant, Underwriter and Portfolio Manager Advisor, Consultant, Underwriter and Portfolio  Manager Advisor,  Consultant,  Underwriter Advisor and Consultant service only."
3686,"Special Financing  215  Functions of Merchant Banking Merchant  banking  is  one  of  the  non  financial  services  which  provides  to  the  corporate sectors,  commercial  banks  and  financial  institutions."
3687,The  major  functions  of  merchant banking are explained as follows:  1.
3688,"Management,  Marketing  and  Underwriting  of  new  issues."
3689,2.
3690,Project  finance  and  project  promotion  services.
3691,3.
3692,Syndication  of  credit  and  other  facilities.
3693,4.
3694,Leasing  including  project  leasing.
3695,5.
3696,Corporate  advisory  services.
3697,6.
3698,Investment  advisory  services.
3699,7.
3700,Bought  out  deals.
3701,8.
3702,Venture  capital.
3703,9.
3704,Mutual  funds  and  off  shore  funds.
3705,10.
3706,11.
3707,12.
3708,Management  dealing  in  commercial  paper.
3709,13.
3710,Treasury  management.
3711,14.
3712,Stock  broking.
3713,15.
3714,Foreign  Collaboration  and  foreign  currency  finance.
3715,16.
3716,Counseling  to  Small  Scale  Industries.
3717,17.
3718,Capital  Structure  counseling  to  cooperative  sectors.
3719,18.
3720,Meeting  the  working  capital  needs.
3721,Investment  Management.
3722,Investment  services  for  non  resident  Indians.
3723,"Merchant Banking Organizations In India, merchant banking services are provided by the following types of organizations:  Merchant Banking Organizations  Commercial Banks   Financial Institutions  Private Consultancy  Fig."
3724,12.3 Merchant Banking Organizations  The following commercial banks are wholly owned subsidiaries to carry out merchant  banking activities.
3725,State Bank of India     SBI Capital Markets Limited.
3726,Canara Bank     Can Bank Financial Service Limited  216  Financial Management  Bank of Baroda     BOB Fiscal Services Limited.
3727,Grindlays Bank     Grindlays Merchant Banking Limited.
3728,"ICICI, IFIC and IDBI are some of the examples of the All India financial institutions  which are involving in the merchant banking activities."
3729,"DSP Financial Consultants, Credit Capital Finance Corporation Limited, J.M Financial and Investment Services Limited are some of the examples of the private consultancy firms which are involving merchant banking activities."
3730,"CREDIT RATING Introduction Credit rating is one of the fee based financial services which are provided by specialized agencies like CRISIL, ICRA and CARE."
3731,It is a mechanism by which the reliability and viability of a credit instrument is brought out.
3732,It is usually the effort of investors in financial instrument to  minimize  or  eliminate  default  risk.
3733,Credit  rating  service  is  useful  to  the  investors.
3734,"According to Securities Exchange Board of India, credit rating is a compulsory mechanism for  listing  of  the  companies  in  the  stock  market  and  also  it  is  essential  to  the  corporate sectors who want to raise capital with the help of issue of fixed deposits, commercial papers and other short-term instruments."
3735,"Meaning of Credit Rating Credit rating is an act of assigning values to credit instruments by estimating or assessing the solvency, and expressing them through predetermined symbols."
3736,Credit  rating  is  designed  exclusively  for  the  purpose  of  granting  bonds  according  to  their  investment  quality   .
3737,Corporate or municipal debt rating is a current assessment of the credit worthiness of  the obligator with respect of  a specific obligation.
3738,Objectives of Credit Rating      These are the important objectives of the credit rating:  (cid:127) To impose a healthy discipline on borrowings.
3739,(cid:127) To lend greater belief to financial and other representations.
3740,(cid:127) To facilitate formulation of public guidelines on institutional investment.
3741,"(cid:127) To help merchant bankers, brokers and regulatory authorities."
3742,"(cid:127) To encourage the information disclosure, better accounting standards, etc."
3743,(cid:127) To reduce interest cost for highly rated company.
3744,Credit Rating in India Credit rating in India begins from 1988.
3745,At present there are four credit rating  agencies very popular in rating.
3746,Special Financing  Operational Performance of Credit Rating Business in India  217  Rs.
3747,"in crore  Rating Agency  CRISAL ICRA CARE          Total  Amount 24,544 5,343 8,403  38,290  384 212 184  780           1994   95 Number          1995   96 Number  Amount 43,086 75,742 13,909  Amount  Cumulative Up to March 96 Number 1736 778 445  1,14,873 93,380 23,638  1,32,737  2,959  2,31,891  427 293 217  937  Basis for Credit Rating Credit rating agencies consider the following important informations for granting the rating symbol to the borrowing company;  1."
3748,Historical  background  of  the  company.
3749,2.
3750,Track  record  of  the  company.
3751,3.
3752,Financial  efficiency  and  profitable  position.
3753,4.
3754,Operational  efficiency.
3755,5.
3756,Market  share  of  the  company.
3757,6.
3758,Labour  efficiency  and  their  turnover.
3759,7.
3760,Future  prospects.
3761,"Credit Rating Information Service of India Limited (CRISIL) Credit  Rating  Information  Service  of  India  Limited  was  the  first  credit  rating  agency  in India, in January 1988 jointly by ICICI, UTI, LIC, GIC and ADB."
3762,The following are the major objectives of the Credit Rating Information Service of India Limited.
3763,"(a) To  rating  of  companies  debentures,  fixed  deposits  programmes,  short-term  instruments  etc."
3764,(b) To  provide  corporate  reports  to  business  concern.
3765,(c) To  conduct  industry  studies.
3766,Credit Rating Symbols of Credit Rating Information Service of India Limited  Long-term Instrument  Medium-term Instrument  Short-term Instrument  AAA AA A BBB  FAAA FAA FA      P1 P2 P3      Remarks  Highest Safety High Safety Adequate Safety Moderate Safety  Contd....  218  BB B C  D  FB FC -  FD  P4 - -  P5  Financial Management  Inadequate Safety Risk  Prone Substantial  Risk  Default  Operational Result of Credit rating Information Service of India Limited Credit Rating Information Service of India Limited is one of the well known and largest credit rating agencies in India which provides credit rating to corporate and banking sectors.
3767,The  operational  performances  of  the  Credit  Rating  Information  Service  of  India  Limited are explained in the table below:  Instruments  1994-95  1995-96  (Rs.
3768,"in crore) Cumulative Up to March 96 Number  Amount  646 543 459 88  45,700 38,625 11,415 19,133  Number  103 97 137 49  384  Amount 7,641 9,130 1,629 6,144  25,544  Debenture Fixed  deposits Commercial  Papers Others          Total  Source: RBI reports."
3769,"Number 161 218 21 27  Amount 13,342 14,153 3,255 12,336  427  43,086  1,736  1,14,873  Investment Information and Credit Rating Agency of India Limited (ICRA) Investment Information and Credit Rating Agency is one of the largest credit rating service providers  next  to  Credit  Rating  Information  Service  of  India  Limited."
3770,"It  was  established mainly for the purpose of rating of short-term, medium-term and long-term debt instruments of  the  corporate  and  banking  companies."
3771,It  was  set  up  in  the  year  1991  by  the  leading banking and financial institutions.
3772,Credit Rating Symbols of Investment Information and Credit Rating Agency of India Limited  Long-term Instrument  LAAA LAA LA LBBB LBB LB LC LD  Medium-term Instrument MAAA MAA MA     MB MC     MD  Short-term Instrument A1 A2 A3         A4     P5  Remarks  Highest Safety High Safety Adequate Safety Moderate Safety Inadequate Safety Risk  Prone Substantial  Risk Default  Special Financing  219  Operational Result of ICRA Investment Information and Credit Rating Agency of India Limited is also performing well in the field of credit rating to various instruments.
3773,The operational result of the Investment Information and Credit Rating Agency of India Limited is explained in the table below:  (Rs.
3774,"in crore)  Instruments  1994   95  1995   96  Number   45  87  80  212  Amount 1,779 540 3,023  5,343  Number  66 192 35  293  Amount 8,224 50,507 17,011  75,742  Debenture Fixed  deposits Commercial  Papers          Total  Source:  RBI reports  223 360 195  774  Cumulative Up to March 96 Number  Amount 18,599 54,481 22,299  93,380  Credit Analysis and Research Limited (CARE) Credit Analysis and Research Limited was set up by Industrial Development Bank of India in November 1993, Credit Analysis and Research Limited also provides rating to long-term, medium-term and short-term instruments."
3775,The rating symbols of Credit Analysis and Research Limited are mentioned below:  Credit Rating Symbols of Credit Analysis and Research Limited  Long-term Instrument  CARE AAA  CARE AA CARE A CARE BBB CARE BB CARE B CARE C  CARE  Medium-term Instrument  CARE AAA  CARE AA CARE A CARE BBB CARE BB CARE B CARE C  CARE  Short-term Instrument PR1 PR2 PR3 -  PR 4 -  PR5  Remarks  Highest Safety High Safety Adequate Safety Moderate Safety Inadequate Safety Risk  Prone Substantial  Risk  Default  Operational Result of Credit Analysis and Research Limited Credit Analysis and Research Limited is one of the latest origins in the field of credit rating which  provides  rating  to  various  instruments.
3776,"The  operational  result  of  the  Credit Analysis and Research Limited as explained in the table below:  220  Financial Management  Instruments  1994-95  1995-96  Debenture Fixed  deposits Commercial  Papers          Total Source: RBI reports  Number 34 112 38 184  Amount 3,429 1,639 3,335 8,403  Number 54 39 124 217  Amount 9,330 1,692 2,887 13,909  (Rs."
3777,"in  crore) Cumulative Up to March 96 Number  93 179 173 445  Amount 13,572 3,704 6,362 23,638  MUTUAL  FUNDS Introduction Mutual fund is one of the funds based financial services which provides the stock market benefits to small investors."
3778,"It is a concept, leading to attract the small investors to invest their pooling of savings in a trusted as well as profitable manner."
3779,Mutual funds business becomes very popular in developed countries and it is fast growing in developing countries like India also.
3780,Mutual funds act as a link between the investor and the stock market.
3781,"Now in India mutual funds activities are performed by public, private and foreign sector financial institutions."
3782,Origin of Mutual Funds In  the  year  1822  the  concept  of  mutual  funds  was  found  in  Belgium.
3783,"In  1868,  foreign colonial government trust was established in England to spread the risks in securities market."
3784,Mutual funds concept was spread to USA and some of the mutual funds institutions were established.
3785,Unit Trust of India was established in 1964 as a public sector mutual funds institution by the central government.
3786,It is the first mutual fund in India.
3787,Structure of Mutual Fund in India  Mutual Fund Sectors   Securities Exchange  Board of India  Association of Mutual   Funds  Mutual Fund  Sponsor   Board of Trustee  Custodian  Investor  Public Sector  Private Sector  Fig.
3788,12.4 Structure of Mutual Fund in India  Special Financing  221  Meaning of Mutual Fund A mutual fund is an investment vehicle for investors who pool their savings for investing in diversified portfolio of securities with the aim of attractive yields and appreciation in their value.
3789,Mutual fund is a trust that attracts savings which are then invested in capital markets.
3790,"According to SEBI, mutual fund define is as a fund, established in the form of a trust to raise money through the sale of units to the public or a section of the public under one or more scheme for investing in securities, including money market instruments."
3791,"Investment  company  institute  of  the  US  defined  mutual  fund  is  a  financial  service organisation that receives money from shareholders, invests it, earns return on it, attempts to make it grow and agrees to pay the shareholders cash on demand for the current value of his investment."
3792,Advantages of Mutual Funds Mutual fund consists of the following important advantages:  1.
3793,Attract  small  and  medium  group  investors:  Mutual  funds  promote  savings among  the  lower  and  middle  income  groups  of  investors  because  mutual  fund units  are  available  with  a  single  unit  of  Rs.
3794,10  and  multiples  by  the  same  value.
3795,2.
3796,"Attractive return: If the investor invests in mutual fund, they can get attractive returns because mutual funds are linked with stock market."
3797,The benefits of stock market  goes  to  the  mutual  fund  investors.
3798,3.
3799,"Reduce the risk: Mutual fund investments minimize the risk on investments by diversifying  the  investments  into  various  portfolios  such  as  shares,  debentures, bonds  etc."
3800,4.
3801,Assure return: Mutual funds are managed by experts in the field of investment  management;  hence  there  is  no  risk  and  mutual  fund  offers  assured  return.
3802,5.
3803,"Tax concession: If the mutual funds belong to infrastructure development bonds,  there  will  be  a  tax  concession  to  the  mutual  fund  investment."
3804,6.
3805,Liquidity: Mutual fund investment is one of the highly liquidity based investments which can be recapitalized at any time or sold the mutual fund units at any time.
3806,7.
3807,Convenience: Mutual fund investment is one of the most convenient investments for  those  who  want  to  invest  or  get  back  their  investment  through  selling  of the  units  of  mutual  fund.
3808,8.
3809,Flexibility: Mutual fund can be transfered from one scheme to the other scheme  on  the  basis  of  present  market  condition.
3810,9.
3811,"Benefits  to  minorities:  Mutual  fund  investment  schemes  are  most  suitable  to  the  old  age  pensioners,  widows  middle  class  women,  etc."
3812,10.
3813,Contribution to the economy: Mutual fund companies promote the saving habits of  middle  class  people.
